,Function,Taylor Expression
2597,sin(x) - cos(x),-x**4/24 - x**3/6 + x**2/2 + x - 1
2598,-2*cos(x),-x**4/12 + x**2 - 2
2599,-1.0*x*sin(x),x**2*(0.166666666666667*x**2 - 1.0)
2600,cos(2*x**2),1 - 2*x**4
2601,cos(2*x**2 - 0.5*x),-1.99739583333333*x**4 + 1.0*x**3 - 0.125*x**2 + 1
2602,0.25*x**2 + 2.0*sqrt(x**2 + 1)*sin(x) + 4*sin(x)**2 + 0.25,-1.33333333333333*x**4 + 0.666666666666667*x**3 + 4.25*x**2 + 2.0*x + 0.25
2603,x**4,x**4
2604,-2*x**2,-2*x**2
2605,-2*x**2 - 3*x,x*(-2*x - 3)
2606,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
2607,3*x**3,3*x**3
2608,sqrt(x**2 + 1),-x**4/8 + x**2/2 + 1
2609,sin(5*sqrt(x**2 + 1)),-5*x**4*(5*sin(5) + cos(5))/8 + 5*x**2*cos(5)/2 + sin(5)
2610,sin(0.5*log(x + 1)),x*(-0.09375*x**3 + 0.145833333333333*x**2 - 0.25*x + 0.5)
2611,log(x**2 + 1),-x**4/2 + x**2
2612,9*exp(x)*log(x + 1),3*x*(2*x**2 + 3*x + 6)/2
2613,-sin(x - sqrt(x**2 + 1)),-x**4*(2*sin(1) + 9*cos(1))/24 + x**3*(cos(1) + 3*sin(1))/6 + sqrt(2)*x**2*cos(pi/4 + 1)/2 - x*cos(1) + sin(1)
2614,3*sqrt(x**2 + 1),-3*x**4/8 + 3*x**2/2 + 3
2615,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
2616,3*x,3*x
2617,exp(-x),x**4/24 - x**3/6 + x**2/2 - x + 1
2618,exp(-3*x**3),1 - 3*x**3
2619,0.5*x**3 + 2*x**2,x**2*(0.5*x + 2)
2620,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
2621,-0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 0.5
2622,-4*exp(x)*log(x + 1),2*x*(-2*x**2 - 3*x - 6)/3
2623,cos(2*x - 2*log(x + 1)),1 - x**4/2
2624,-3*x,-3*x
2625,cos(3*x),27*x**4/8 - 9*x**2/2 + 1
2626,3*x**3 + exp(x),x**4/24 + 19*x**3/6 + x**2/2 + x + 1
2627,sin(0.5*x**2*cos(x)),x**2*(0.5 - 0.25*x**2)
2628,-3*x**2,-3*x**2
2629,-5*sin(x),5*x*(x**2 - 6)/6
2630,cos(0.25*exp(x)*cos(x)),0.030651874344048*x**4 + 0.0212612777484356*x**3 - 0.0302785131784576*x**2 - 0.0618509898136307*x + 0.968912421710645
2631,-2*x,-2*x
2632,log(x + 1),x*(-x**3/4 + x**2/3 - x/2 + 1)
2633,x**2,x**2
2634,9*x**4,9*x**4
2635,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
2636,-2*exp(x) + 3*sin(x),-x**4/12 - 5*x**3/6 - x**2 + x - 2
2637,-3*x,-3*x
2638,-3*x**2*sin(x),-3*x**3
2639,-3*x**3,-3*x**3
2640,0.0625*x**2*cos(x)**2,0.0625*x**2*(1 - x**2)
2641,1.5*x*log(x + 1),x**2*(0.5*x**2 - 0.75*x + 1.5)
2642,2*x**3*cos(x),2*x**3
2643,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
2644,-sin(3*cos(x)),x**4*(-cos(3) + 9*sin(3))/8 + 3*x**2*cos(3)/2 - sin(3)
2645,x**3 + 3*x**2 + 3*x + 1,x**3 + 3*x**2 + 3*x + 1
2646,log(0.25*log(x + 1)**2 + 1),x**2*(0.197916666666667*x**2 - 0.25*x + 0.25)
2647,0.25*x**4 + 3.0*x**2*log(x + 1) + 9*log(x + 1)**2,x**2*(7.0*x**2 - 6.0*x + 9)
2648,-0.5*x,-0.5*x
2649,sin(2*x**2 - sqrt(x**2 + 1)),x**4*(cos(1) + 9*sin(1))/8 + 3*x**2*cos(1)/2 - sin(1)
2650,-x**3*log(x + 1),-x**4
2651,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
2652,2*x**3 + 2*x**2,2*x**2*(x + 1)
2653,1.5*x*log(x + 1),x**2*(0.5*x**2 - 0.75*x + 1.5)
2654,log(x + 1) + sin(x),x*(-3*x**3 + 2*x**2 - 6*x + 24)/12
2655,-0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5
2656,-x + cos(x),x**4/24 - x**2/2 - x + 1
2657,4*x**4 + 2.0*x**3 + 0.25*x**2,x**2*(4*x**2 + 2.0*x + 0.25)
2658,2*x**2,2*x**2
2659,-3*x**3,-3*x**3
2660,9*x**2,9*x**2
2661,-2*x**2,-2*x**2
2662,-0.5*x + 3*log(x + 1),x*(-0.75*x**3 + 1.0*x**2 - 1.5*x + 2.5)
2663,-0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5
2664,-3*x**2 - 3*exp(x),-x**4/8 - x**3/2 - 9*x**2/2 - 3*x - 3
2665,0.25*sin(x)**2,x**2*(0.25 - 0.0833333333333333*x**2)
2666,-2*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/6
2667,3*sqrt(x**2 + 1)*cos(x),3 - x**4
2668,x + 2*sqrt(x**2 + 1),-x**4/4 + x**2 + x + 2
2669,-1.0*x**3*sqrt(x**2 + 1),-1.0*x**3
2670,3*x**2,3*x**2
2671,-1.0*sqrt(x**2 + 1)*log(x + 1),x*(0.5*x**3 - 0.833333333333333*x**2 + 0.5*x - 1.0)
2672,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
2673,2*x**2*sin(x),2*x**3
2674,log(9*x**2 + 1),x**2*(9 - 81*x**2/2)
2675,36*x**2*log(x + 1)**2 + 36*log(x + 1)**2,x**2*(69*x**2 - 36*x + 36)
2676,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
2677,x**3 - sqrt(x**2 + 1),x**4/8 + x**3 - x**2/2 - 1
2678,3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 3
2679,-1.5*sqrt(x**2 + 1)*cos(x),0.5*x**4 - 1.5
2680,exp(-0.5*x**3)*exp(3*sin(x)),0.375*x**4 + 3.5*x**3 + 4.5*x**2 + 3.0*x + 1.0
2681,-3*sqrt(x**2 + 1)*exp(x),-x**4/2 - 2*x**3 - 3*x**2 - 3*x - 3
2682,cos(3*exp(x) + 0.5*log(x + 1)),-2.02616701746752*x**4 + 5.24555722484817*x**3 + 5.88730403160289*x**2 - 0.493920028209535*x - 0.989992496600445
2683,4*x**3,4*x**3
2684,-0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 0.5
2685,sin(6*x*sin(x)),x**2*(6 - x**2)
2686,9*x**2 - 6*sqrt(x**2 + 1)*exp(x) + exp(2*x) + 9,-x**4/3 - 8*x**3/3 + 5*x**2 - 4*x + 4
2687,exp(-0.5*cos(x)),(0.0104166666666667*x**4 + 0.25*x**2 + 1)*exp(-1/2)
2688,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
2689,cos(1.0*sqrt(x**2 + 1)*sin(x)),-0.291666666666667*x**4 - 0.5*x**2 + 1
2690,cos(2*exp(x)),x**4*(-6*cos(2) + 23*sin(2))/12 + x**3*(-2*cos(2) + sin(2)) - x**2*(2*cos(2) + sin(2)) - 2*x*sin(2) + cos(2)
2691,1.0*exp(2*x),0.666666666666667*x**4 + 1.33333333333333*x**3 + 2.0*x**2 + 2.0*x + 1.0
2692,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
2693,-4*x**4,-4*x**4
2694,4*x**2*sqrt(x**2 + 1),2*x**2*(x**2 + 2)
2695,3*sin(x),x*(6 - x**2)/2
2696,exp(x**2),x**4/2 + x**2 + 1
2697,-3*x**3 + 3*log(x + 1),x*(-3*x**3 - 8*x**2 - 6*x + 12)/4
2698,sin(x + 0.5*log(x + 1)),x*(0.15625*x**3 - 0.395833333333333*x**2 - 0.25*x + 1.5)
2699,1.0*x**2*exp(x),x**2*(0.5*x**2 + 1.0*x + 1.0)
2700,3*sqrt(x**2 + 1),-3*x**4/8 + 3*x**2/2 + 3
2701,36*cos(x)**4,60*x**4 - 72*x**2 + 36
2702,-0.5*sqrt(x**2 + 1)*log(x + 1),x*(0.25*x**3 - 0.416666666666667*x**2 + 0.25*x - 0.5)
2703,-2*x,-2*x
2704,-0.5*x**2 - sqrt(x**2 + 1),x**4/8 - 1.0*x**2 - 1
2705,cos(x),x**4/24 - x**2/2 + 1
2706,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
2707,2*x**2 + 2*sqrt(x**2 + 1),-x**4/4 + 3*x**2 + 2
2708,2*x**3,2*x**3
2709,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
2710,-6*x*sqrt(x**2 + 1),3*x*(-x**2 - 2)
2711,-3*sin(x)**2,x**2*(x**2 - 3)
2712,9*sin(x)**2,3*x**2*(3 - x**2)
2713,0.5*x**3,0.5*x**3
2714,0.5*x - 0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 0.5
2715,exp(-x**2)*exp(-3*sqrt(x**2 + 1)),(7*x**4 - 5*x**2 + 2)*exp(-3)/2
2716,-log(x + 1),x*(x**3/4 - x**2/3 + x/2 - 1)
2717,exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
2718,-sin(3*x**2),-3*x**2
2719,-2*sin(x),x*(x**2 - 6)/3
2720,cos(0.5*x + cos(x)),-0.153783978562808*x**4 + 0.152606221983866*x**3 + 0.353197704170431*x**2 - 0.420735492403948*x + 0.54030230586814
2721,6*sqrt(x**2 + 1)*cos(x),6 - 2*x**4
2722,-1.0*x**4,-1.0*x**4
2723,-1.5*x**4,-1.5*x**4
2724,log(36*x**2*cos(x)**2 + 1),x**2*(36 - 684*x**2)
2725,-0.5*sqrt(x**2 + 1) - cos(x),0.0208333333333333*x**4 + 0.25*x**2 - 1.5
2726,3*x*sin(x),x**2*(6 - x**2)/2
2727,-0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5
2728,-2*exp(x)*log(x + 1),x*(-2*x**2 - 3*x - 6)/3
2729,sin(cos(x)),x**4*(-3*sin(1) + cos(1))/24 - x**2*cos(1)/2 + sin(1)
2730,-0.5*x + 2*sqrt(x**2 + 1),-x**4/4 + x**2 - 0.5*x + 2
2731,sin(6*sqrt(x**2 + 1)*sin(x)),-34*x**3 + 6*x
2732,0.5*cos(x),0.0208333333333333*x**4 - 0.25*x**2 + 0.5
2733,cos(0.5*log(x + 1)),-0.111979166666667*x**4 + 0.125*x**3 - 0.125*x**2 + 1
2734,2*x - 2*sqrt(x**2 + 1),x**4/4 - x**2 + 2*x - 2
2735,exp(-3*x)/(x + 1)**0.5,8.5234375*x**4 - 8.1875*x**3 + 6.375*x**2 - 3.5*x + 1
2736,-1.0*log(x + 1)*sin(x),x**2*(-0.166666666666667*x**2 + 0.5*x - 1.0)
2737,-0.5*x*cos(x),x*(0.25*x**2 - 0.5)
2738,2*x**3 + 0.5*cos(x),0.0208333333333333*x**4 + 2*x**3 - 0.25*x**2 + 0.5
2739,-3*x**2 - 3*exp(x),-x**4/8 - x**3/2 - 9*x**2/2 - 3*x - 3
2740,-3*x**3,-3*x**3
2741,-0.5*sqrt(x**2 + 1)*log(x + 1),x*(0.25*x**3 - 0.416666666666667*x**2 + 0.25*x - 0.5)
2742,-1.5*x*sqrt(x**2 + 1),x*(-0.75*x**2 - 1.5)
2743,-2*cos(x),-x**4/12 + x**2 - 2
2744,-x**2,-x**2
2745,-2*x,-2*x
2746,-0.5*x**3 - 3*sin(x),-3*x
2747,1.5*x**3*sqrt(x**2 + 1),1.5*x**3
2748,-2*x,-2*x
2749,0.25*log(x + 1)*cos(x),x*(-0.0416666666666667*x**2 - 0.125*x + 0.25)
2750,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
2751,0.5*x**2,0.5*x**2
2752,-x**3 - log(x + 1),x*(3*x**3 - 16*x**2 + 6*x - 12)/12
2753,-sin(3*sin(x)),x*(5*x**2 - 3)
2754,cos(3*cos(x)),-x**4*(9*cos(3) + sin(3))/8 + 3*x**2*sin(3)/2 + cos(3)
2755,-0.5*exp(x),-0.0208333333333333*x**4 - 0.0833333333333333*x**3 - 0.25*x**2 - 0.5*x - 0.5
2756,exp(x)*exp(cos(x)),E*(-x**4 - 8*x**3 + 24*x + 24)/24
2757,2*x**2*exp(x),x**2*(x**2 + 2*x + 2)
2758,4*x**2 + 12*x*exp(x) + 9*exp(2*x),8*x**4 + 18*x**3 + 34*x**2 + 30*x + 9
2759,exp(2*x**3)/(x**2 + 2*x + 1),x**4 - 2*x**3 + 3*x**2 - 2*x + 1
2760,-x**3 + log(x + 1),x*(-3*x**3 - 8*x**2 - 6*x + 12)/12
2761,cos(x - 2*sqrt(x**2 + 1)),x**4*(-11*cos(2) + 18*sin(2))/24 + x**3*(6*cos(2) - sin(2))/6 - x**2*(cos(2) + 2*sin(2))/2 + x*sin(2) + cos(2)
2762,sin(2*exp(x) - 2*cos(x)),x*(-4*x**3 - x**2 + 2*x + 2)
2763,-sqrt(x**2 + 1) - 2*log(x + 1),5*x**4/8 - 2*x**3/3 + x**2/2 - 2*x - 1
2764,-3*log(x + 1)*cos(x),x*(x**2 + 3*x - 6)/2
2765,-log(x + 1),x*(x**3/4 - x**2/3 + x/2 - 1)
2766,cos(0.5*log(x + 1)*cos(x)),0.0130208333333333*x**4 + 0.125*x**3 - 0.125*x**2 + 1
2767,3*sqrt(x**2 + 1) - 2*exp(x),-11*x**4/24 - x**3/3 + x**2/2 - 2*x + 1
2768,2*x,2*x
2769,cos(3*x**2*sqrt(x**2 + 1)),1 - 9*x**4/2
2770,-3*x**3 + 3*sin(x),x*(6 - 7*x**2)/2
2771,-1.5*x**3*log(x + 1),-1.5*x**4
2772,9*x**3*sqrt(x**2 + 1),9*x**3
2773,sin(3*exp(x) - 0.5*sin(x)),4.38196825803648*x**4 + 1.47140980665556*x**3 - 1.92598877008775*x**2 - 2.47498124150111*x + 0.141120008059867
2774,-x*sqrt(x**2 + 1),-x**3/2 - x
2775,-1.0*sqrt(x**2 + 1)*cos(x),0.333333333333333*x**4 - 1.0
2776,0.25*x**2 - 3.0*sqrt(x**2 + 1)*sin(x) + 9*sin(x)**2 + 0.25,-3*x**4 - 1.0*x**3 + 9.25*x**2 - 3.0*x + 0.25
2777,cos(3*exp(x) - 2*log(x + 1)),5*x**4*(3*sin(3) - 14*cos(3))/24 + x**3*(2*sin(3) - 15*cos(3))/6 - x**2*(cos(3) + 5*sin(3))/2 - x*sin(3) + cos(3)
2778,log(x + 1) + 3*sin(x),x*(-3*x**3 - 2*x**2 - 6*x + 48)/12
2779,2*x**2 + 0.5*sqrt(x**2 + 1),-0.0625*x**4 + 2.25*x**2 + 0.5
2780,0.5*x**3,0.5*x**3
2781,-3*x**3,-3*x**3
2782,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
2783,0.5*x**3,0.5*x**3
2784,log(8*x**2 + 8*x*sqrt(x**2 + 1) + 5),-64*x**4/625 - 148*x**3/375 + 8*x**2/25 + 8*x/5 + log(5)
2785,-0.25*x*sqrt(x**2 + 1),x*(-0.125*x**2 - 0.25)
2786,3*x**2*exp(x),3*x**2*(x**2 + 2*x + 2)/2
2787,log(0.25*x**4 + 2.0*x**2*sqrt(x**2 + 1) + 4*x**2 + 5),-0.47*x**4 + 1.2*x**2 + log(5)
2788,2*x**2 + log(x + 1),x*(-3*x**3 + 4*x**2 + 18*x + 12)/12
2789,exp(-2*x),2*x**4/3 - 4*x**3/3 + 2*x**2 - 2*x + 1
2790,exp(-9*x*cos(x)),1863*x**4/8 - 117*x**3 + 81*x**2/2 - 9*x + 1
2791,1.0*x**3*log(x + 1),1.0*x**4
2792,cos(0.5*x**2 + sin(x)),0.0833333333333333*x**4 - 0.5*x**3 - x**2/2 + 1
2793,3*sin(x),x*(6 - x**2)/2
2794,-sqrt(x**2 + 1),x**4/8 - x**2/2 - 1
2795,x**3 + 2*sqrt(x**2 + 1),-x**4/4 + x**3 + x**2 + 2
2796,-1.5*log(x + 1)**2,x**2*(-1.375*x**2 + 1.5*x - 1.5)
2797,0.5*cos(x),0.0208333333333333*x**4 - 0.25*x**2 + 0.5
2798,-0.5*x**3 - exp(x),-x**4/24 - 0.666666666666667*x**3 - x**2/2 - x - 1
2799,sqrt(x**2 + 1) + 0.5*exp(x),-0.104166666666667*x**4 + 0.0833333333333333*x**3 + 0.75*x**2 + 0.5*x + 1.5
2800,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
2801,0.25*sin(x)**2 + 1.0*sin(x)*cos(x) + cos(x)**2,0.25*x**4 - 0.666666666666667*x**3 - 0.75*x**2 + 1.0*x + 1
2802,log(x**2 + 2),-x**4/8 + x**2/2 + log(2)
2803,sin(x),-x**3/6 + x
2804,-0.5*sqrt(x**2 + 1),0.0625*x**4 - 0.25*x**2 - 0.5
2805,-2*sqrt(x**2 + 1) + log(x + 1),x**3/3 - 3*x**2/2 + x - 2
2806,-sin(x),x**3/6 - x
2807,exp(-0.5*cos(x)),(0.0104166666666667*x**4 + 0.25*x**2 + 1)*exp(-1/2)
2808,cos(x),x**4/24 - x**2/2 + 1
2809,2*cos(x),x**4/12 - x**2 + 2
2810,sin(3*x**2),3*x**2
2811,log(16*x**4 + 32*x**2 + 17),-240*x**4/289 + 32*x**2/17 + log(17)
2812,x - 2*log(x + 1),x*(x**3/2 - 2*x**2/3 + x - 1)
2813,-2*x - 0.5*sin(x),x*(0.0833333333333333*x**2 - 2.5)
2814,-x**2,-x**2
2815,-2*sin(x) + 0.5*cos(x),0.0208333333333333*x**4 + x**3/3 - 0.25*x**2 - 2*x + 0.5
2816,-0.5*cos(x),-0.0208333333333333*x**4 + 0.25*x**2 - 0.5
2817,3*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/4
2818,-1.5*x**2*log(x + 1),x**3*(0.75*x - 1.5)
2819,exp(-2*x**2),2*x**4 - 2*x**2 + 1
2820,exp(1.5*x*sqrt(x**2 + 1)),1.3359375*x**4 + 1.3125*x**3 + 1.125*x**2 + 1.5*x + 1
2821,-sin(0.5*sqrt(x**2 + 1)),0.0698309581995296*x**4 - 0.219395640472593*x**2 - 0.479425538604203
2822,sin(2*exp(x) - 0.5*log(x + 1)),-0.247398814162511*x**4 - 1.54020788583158*x**3 - 1.54314315086282*x**2 - 0.624220254820714*x + 0.909297426825682
2823,3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 3
2824,x**3*sin(x),x**4
2825,log(2.25*x**2*exp(2*x) + 2.25*exp(2*x) + 1),-0.442999194706068*x**4 + 0.316795630405098*x**3 + 1.11834319526627*x**2 + 1.38461538461538*x + 1.17865499634165
2826,log(x + 1) + cos(x),-5*x**4/24 + x**3/3 - x**2 + x + 1
2827,0.5*cos(x),0.0208333333333333*x**4 - 0.25*x**2 + 0.5
2828,-0.5*log(x + 1),x*(0.125*x**3 - 0.166666666666667*x**2 + 0.25*x - 0.5)
2829,3*sqrt(x**2 + 1),-3*x**4/8 + 3*x**2/2 + 3
2830,-3*sin(x)*cos(x),x*(2*x**2 - 3)
2831,-3*x**3,-3*x**3
2832,0.5*exp(x) + 2*log(x + 1),-0.479166666666667*x**4 + 0.75*x**3 - 0.75*x**2 + 2.5*x + 0.5
2833,3*exp(x)*cos(x),-x**4/2 - x**3 + 3*x + 3
2834,6*sqrt(x**2 + 1)*log(x + 1),x*(-3*x**3 + 5*x**2 - 3*x + 6)
2835,log(16*cos(x)**4 + 1),-176*x**4/867 - 32*x**2/17 + log(17)
2836,1.5*exp(x)*log(x + 1),x*(0.5*x**2 + 0.75*x + 1.5)
2837,-0.5*x**3 - 2*x**2,x**2*(-0.5*x - 2)
2838,exp(0.5*x**2),0.125*x**4 + 0.5*x**2 + 1
2839,exp(3*cos(x)),(5*x**4 - 6*x**2 + 4)*exp(3)/4
2840,2*x**3,2*x**3
2841,log(4*x**2*exp(2*x) + 1),x**2*(8*x + 4)
2842,cos(0.5*sin(x)),0.0442708333333333*x**4 - 0.125*x**2 + 1
2843,2*sqrt(x**2 + 1)*exp(x),x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 2
2844,2*sqrt(x**2 + 1),-x**4/4 + x**2 + 2
2845,3*exp(x) - cos(x),x**4/12 + x**3/2 + 2*x**2 + 3*x + 2
2846,sin(0.5*x**3),0.5*x**3
2847,-4*sin(x),2*x*(x**2 - 6)/3
2848,-0.5*exp(2*x),-0.333333333333333*x**4 - 0.666666666666667*x**3 - 1.0*x**2 - 1.0*x - 0.5
2849,cos(sqrt(x**2 + 1)),-sqrt(2)*x**4*cos(pi/4 + 1)/8 - x**2*sin(1)/2 + cos(1)
2850,sin(1.0*x**3*sin(x)),1.0*x**4
2851,-6*sqrt(x**2 + 1)*exp(x),-x**4 - 4*x**3 - 6*x**2 - 6*x - 6
2852,log(4*x**4 + 1),4*x**4
2853,0.5*x,0.5*x
2854,exp(x) - cos(x),x*(x**2/6 + x + 1)
2855,4*x**6 - 4*x**3*sin(x) + sin(x)**2,-13*x**4/3 + x**2
2856,-3*x**3,-3*x**3
2857,exp(2*x**2*cos(x)),x**4 + 2*x**2 + 1
2858,x**2,x**2
2859,cos(3*x**3 - 2*sqrt(x**2 + 1)),x**4*(-2*cos(2) + sin(2))/4 + 3*x**3*sin(2) - x**2*sin(2) + cos(2)
2860,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
2861,-3*x**3,-3*x**3
2862,-3*exp(x) - sin(x),-x**4/8 - x**3/3 - 3*x**2/2 - 4*x - 3
2863,sqrt(x**2 + 1)*cos(x),1 - x**4/3
2864,sin(x**3 - 2*x**2),x**2*(x - 2)
2865,-0.5*x**3 + 2*exp(x),x**4/12 - 0.166666666666667*x**3 + x**2 + 2*x + 2
2866,sin(0.5*sin(x) + cos(x)),-0.0116497611831229*x**4 + 0.154086256007376*x**3 - 0.375335026035057*x**2 + 0.27015115293407*x + 0.841470984807897
2867,sin(2*exp(x)),-x**4*(23*cos(2) + 6*sin(2))/12 - x**3*(cos(2) + 2*sin(2)) + x**2*(-2*sin(2) + cos(2)) + 2*x*cos(2) + sin(2)
2868,2*x**2*sin(x),2*x**3
2869,cos(1.5*x**2*exp(x)),1 - 1.125*x**4
2870,-1.5*x**3,-1.5*x**3
2871,x**2 + log(x + 1),x*(-x**3/4 + x**2/3 + x/2 + 1)
2872,-2*sin(x) + 2*cos(x),x**4/12 + x**3/3 - x**2 - 2*x + 2
2873,-sin(sqrt(x**2 + 1) + 3*exp(x)),x**4*(9*cos(4) + sin(4)/8) + x**3*(6*sin(4) + 4*cos(4)) + x**2*(9*sin(4)/2 - 2*cos(4)) - 3*x*cos(4) - sin(4)
2874,cos(0.5*x**2 + 0.5*cos(x)),-0.0374124871133284*x**4 - 0.119856384651051*x**2 + 0.877582561890373
2875,x*sqrt(x**2 + 1),x**3/2 + x
2876,2*x**3 - 2*log(x + 1),x*(3*x**3 + 8*x**2 + 6*x - 12)/6
2877,-3*x**2 - 3*x,3*x*(-x - 1)
2878,-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
2879,log(x + 1),x*(-x**3/4 + x**2/3 - x/2 + 1)
2880,3*x,3*x
2881,exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
2882,log(exp(2*x) + 2*exp(x)*cos(x) + cos(x)**2 + 1),121*x**4/3750 + 18*x**3/125 - 3*x**2/25 + 4*x/5 + log(5)
2883,1.5*x**3*log(x + 1),1.5*x**4
2884,log(2.25*sin(x)**2*cos(x)**2 + 1),x**2*(2.25 - 5.53125*x**2)
2885,log(sin(x)**2 + 1),-5*x**4/6 + x**2
2886,-x**3,-x**3
2887,cos(x),x**4/24 - x**2/2 + 1
2888,-exp(x) + 2*cos(x),x**4/24 - x**3/6 - 3*x**2/2 - x + 1
2889,-0.5*sin(x),x*(0.0833333333333333*x**2 - 0.5)
2890,0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.25*x**2 + 0.5*x + 0.5
2891,-0.5*x - 0.5*sin(x),x*(0.0833333333333333*x**2 - 1.0)
2892,2*x**2*sin(x),2*x**3
2893,log(4*log(x + 1)**2 - 4*log(x + 1)*cos(x) + cos(x)**2 + 1),37*x**4/24 + 2*x**3/3 + x**2/2 - 2*x + log(2)
2894,2*x**3,2*x**3
2895,exp(-0.5*x**2)*exp(-3*exp(x)),(-2.25*x**4 + 1.0*x**3 + 2.5*x**2 - 3*x + 1)*exp(-3)
2896,cos(0.5*sqrt(x**2 + 1) - 3*log(x + 1)),2.43116622153197*x**4 + 2.92931906480975*x**3 - 4.78811622106403*x**2 + 1.43827661581261*x + 0.877582561890373
2897,18*x**2 - 18*x*sqrt(x**2 + 1) + 9,-9*x**3 + 18*x**2 - 18*x + 9
2898,0.25*x**6 + 0.5*x**3*sqrt(x**2 + 1) + 0.25*x**2 + 0.25,0.5*x**3 + 0.25*x**2 + 0.25
2899,2*x**3,2*x**3
2900,3*cos(x),x**4/8 - 3*x**2/2 + 3
2901,1.5*log(x + 1)*sin(x),x**2*(0.25*x**2 - 0.75*x + 1.5)
2902,2*log(x + 1),x*(-3*x**3 + 4*x**2 - 6*x + 12)/6
2903,cos(1.0*sin(x)**2),1 - 0.5*x**4
2904,0.5*x**2 + 0.5*exp(x),0.0208333333333333*x**4 + 0.0833333333333333*x**3 + 0.75*x**2 + 0.5*x + 0.5
2905,exp(4*x**2*cos(x)),6*x**4 + 4*x**2 + 1
2906,0.5*x*sqrt(x**2 + 1),x*(0.25*x**2 + 0.5)
2907,sin(3*x**2 + 3*exp(x)),-x**4*(161*cos(3) + 66*sin(3))/8 - x**3*(8*cos(3) + 27*sin(3))/2 + 9*sqrt(2)*x**2*cos(pi/4 + 3)/2 + 3*x*cos(3) + sin(3)
2908,exp(1.5*log(x + 1)**2),2.5*x**4 - 1.5*x**3 + 1.5*x**2 + 1
2909,-0.5*x**3,-0.5*x**3
2910,exp(0.5*exp(x)*cos(x)),(-0.1640625*x**4 - 0.145833333333333*x**3 + 0.125*x**2 + 0.5*x + 1)*exp(1/2)
2911,cos(0.5*log(x + 1)),-0.111979166666667*x**4 + 0.125*x**3 - 0.125*x**2 + 1
2912,log(36*x**2*sin(x)**2 + 36*sin(x)**2 + 1),x**2*(36 - 624*x**2)
2913,exp(log(x + 1)*cos(x)),-x**4/4 - x**3/2 + x + 1
2914,exp(x) + 0.5*sin(x),x**4/24 + 0.0833333333333333*x**3 + x**2/2 + 1.5*x + 1
2915,-2*sqrt(x**2 + 1) - 3*sin(x),x**4/4 + x**3/2 - x**2 - 3*x - 2
2916,-2*x**3 - 3*x**2,x**2*(-2*x - 3)
2917,2*x - 2*sin(x),x**3/3
2918,-3*x,-3*x
2919,3*exp(x) + 3*sin(x),x**4/8 + 3*x**2/2 + 6*x + 3
2920,cos(2*sin(x)),4*x**4/3 - 2*x**2 + 1
2921,-3*exp(2*x),-2*x**4 - 4*x**3 - 6*x**2 - 6*x - 3
2922,-3*log(x + 1),x*(3*x**3 - 4*x**2 + 6*x - 12)/4
